Query,n of total hits,n of nontarget,half n of total hits,Taxon dist HGT
scaffold1-size789604-gene-3.31,19,12.0,9.5,True
scaffold1-size789604-gene-3.32,8,0.0,4.0,False
scaffold1-size789604-gene-3.33,23,0.0,11.5,False
scaffold1-size789604-gene-3.35,3,0.0,1.5,False
scaffold1-size789604-gene-3.37,10,0.0,5.0,False
scaffold1-size789604-gene-3.38,20,0.0,10.0,False
scaffold1-size789604-gene-3.4,2,0.0,1.0,False
scaffold1-size789604-gene-3.6,20,0.0,10.0,False
scaffold1-size789604-gene-3.7,22,1.0,11.0,False
scaffold1-size789604-gene-3.8,21,0.0,10.5,False
scaffold1-size789604-gene-3.9,19,1.0,9.5,False
scaffold1-size789604-gene-4.0,23,23.0,11.5,True
scaffold1-size789604-gene-4.1,22,2.0,11.0,False
scaffold1-size789604-gene-4.10,20,0.0,10.0,False
scaffold1-size789604-gene-4.11,23,0.0,11.5,False
scaffold1-size789604-gene-4.14,16,0.0,8.0,False
scaffold1-size789604-gene-4.16,21,0.0,10.5,False
scaffold1-size789604-gene-4.17,19,0.0,9.5,False
scaffold1-size789604-gene-4.19,6,0.0,3.0,False
scaffold1-size789604-gene-4.20,18,17.0,9.0,True
scaffold1-size789604-gene-4.21,16,16.0,8.0,True
scaffold1-size789604-gene-4.22,3,0.0,1.5,False
scaffold1-size789604-gene-4.25,23,3.0,11.5,False
scaffold1-size789604-gene-4.26,1,0.0,0.5,False
scaffold1-size789604-gene-4.3,17,0.0,8.5,False
scaffold1-size789604-gene-4.30,2,0.0,1.0,False
scaffold1-size789604-gene-4.31,17,0.0,8.5,False
scaffold1-size789604-gene-4.33,17,17.0,8.5,True
scaffold1-size789604-gene-4.4,21,17.0,10.5,True
scaffold1-size789604-gene-4.5,23,0.0,11.5,False
scaffold1-size789604-gene-4.6,3,0.0,1.5,False
scaffold1-size789604-gene-4.7,19,17.0,9.5,True
scaffold1-size789604-gene-4.8,24,23.0,12.0,True
scaffold1-size789604-gene-4.9,15,0.0,7.5,False
scaffold1-size789604-gene-5.20,7,4.0,3.5,True
scaffold1-size789604-gene-5.23,12,0.0,6.0,False
scaffold1-size789604-gene-5.24,1,0.0,0.5,False
scaffold1-size789604-gene-5.25,24,18.0,12.0,True
scaffold1-size789604-gene-5.27,2,0.0,1.0,False
scaffold1-size789604-gene-5.30,19,17.0,9.5,True
scaffold1-size789604-gene-5.31,24,0.0,12.0,False
scaffold1-size789604-gene-5.32,18,6.0,9.0,False
scaffold1-size789604-gene-5.35,19,0.0,9.5,False
scaffold1-size789604-gene-5.36,19,0.0,9.5,False
scaffold1-size789604-gene-5.37,6,0.0,3.0,False
scaffold1-size789604-gene-5.38,6,0.0,3.0,False
scaffold1-size789604-gene-5.39,23,0.0,11.5,False
scaffold1-size789604-gene-5.41,22,0.0,11.0,False
scaffold1-size789604-gene-5.42,16,0.0,8.0,False
scaffold1-size789604-gene-5.43,21,16.0,10.5,True
scaffold1-size789604-gene-5.44,3,0.0,1.5,False
scaffold1-size789604-gene-5.45,21,1.0,10.5,False
scaffold1-size789604-gene-5.46,1,0.0,0.5,False
scaffold1-size789604-gene-5.50,22,0.0,11.0,False
scaffold1-size789604-gene-5.53,22,14.0,11.0,True
scaffold1-size789604-gene-5.54,2,0.0,1.0,False
scaffold1-size789604-gene-5.55,1,0.0,0.5,False
scaffold1-size789604-gene-5.57,20,0.0,10.0,False
scaffold1-size789604-gene-5.58,23,21.0,11.5,True
scaffold1-size789604-gene-5.59,18,17.0,9.0,True
scaffold1-size789604-gene-6.100,22,0.0,11.0,False
scaffold1-size789604-gene-6.101,18,0.0,9.0,False
scaffold1-size789604-gene-6.102,1,1.0,0.5,True
scaffold1-size789604-gene-6.103,21,17.0,10.5,True
scaffold1-size789604-gene-6.104,21,0.0,10.5,False
scaffold1-size789604-gene-6.105,10,0.0,5.0,False
scaffold1-size789604-gene-6.107,19,0.0,9.5,False
scaffold1-size789604-gene-6.108,23,8.0,11.5,False
scaffold1-size789604-gene-6.109,2,0.0,1.0,False
scaffold1-size789604-gene-6.110,20,4.0,10.0,False
scaffold1-size789604-gene-6.45,22,0.0,11.0,False
scaffold1-size789604-gene-6.46,11,3.0,5.5,False
scaffold1-size789604-gene-6.48,20,20.0,10.0,True
scaffold1-size789604-gene-6.50,23,0.0,11.5,False
scaffold1-size789604-gene-6.52,18,0.0,9.0,False
scaffold1-size789604-gene-6.53,4,0.0,2.0,False
scaffold1-size789604-gene-6.55,18,0.0,9.0,False
scaffold1-size789604-gene-6.58,4,0.0,2.0,False
scaffold1-size789604-gene-6.59,1,0.0,0.5,False
scaffold1-size789604-gene-6.60,3,0.0,1.5,False
scaffold1-size789604-gene-6.62,20,8.0,10.0,False
scaffold1-size789604-gene-6.64,19,0.0,9.5,False
scaffold1-size789604-gene-6.65,20,19.0,10.0,True
scaffold1-size789604-gene-6.66,18,13.0,9.0,True
scaffold1-size789604-gene-6.67,18,0.0,9.0,False
scaffold1-size789604-gene-6.69,2,0.0,1.0,False
scaffold1-size789604-gene-6.71,2,0.0,1.0,False
scaffold1-size789604-gene-6.74,20,0.0,10.0,False
scaffold1-size789604-gene-6.76,14,1.0,7.0,False
scaffold1-size789604-gene-6.80,17,5.0,8.5,False
scaffold1-size789604-gene-6.81,16,0.0,8.0,False
scaffold1-size789604-gene-6.82,23,20.0,11.5,True
scaffold1-size789604-gene-6.83,14,0.0,7.0,False
scaffold1-size789604-gene-6.84,15,0.0,7.5,False
scaffold1-size789604-gene-6.85,1,0.0,0.5,False
scaffold1-size789604-gene-6.87,16,0.0,8.0,False
scaffold1-size789604-gene-6.89,22,0.0,11.0,False
scaffold1-size789604-gene-6.90,9,8.0,4.5,True
scaffold1-size789604-gene-6.91,17,10.0,8.5,True
scaffold1-size789604-gene-6.94,2,0.0,1.0,False
scaffold1-size789604-gene-6.95,23,0.0,11.5,False
scaffold1-size789604-gene-6.96,17,0.0,8.5,False
scaffold10-size436607-gene-2.12,7,5.0,3.5,True
scaffold10-size436607-gene-2.13,15,4.0,7.5,False
scaffold10-size436607-gene-2.5,21,21.0,10.5,True
scaffold10-size436607-gene-2.7,19,0.0,9.5,False
scaffold10-size436607-gene-2.9,22,22.0,11.0,True
scaffold10-size436607-gene-3.1,1,0.0,0.5,False
scaffold10-size436607-gene-3.2,1,0.0,0.5,False
scaffold10-size436607-gene-3.4,15,0.0,7.5,False
scaffold10-size436607-gene-3.5,22,0.0,11.0,False
scaffold10-size436607-gene-3.7,4,0.0,2.0,False
scaffold100-size417314-gene-1.3,13,11.0,6.5,True
scaffold100-size417314-gene-1.7,3,0.0,1.5,False
scaffold100-size417314-gene-1.8,20,1.0,10.0,False
scaffold100-size417314-gene-2.11,17,0.0,8.5,False
scaffold100-size417314-gene-2.12,23,22.0,11.5,True
scaffold100-size417314-gene-2.13,6,1.0,3.0,False
scaffold100-size417314-gene-2.14,17,17.0,8.5,True
scaffold100-size417314-gene-2.15,7,0.0,3.5,False
scaffold100-size417314-gene-2.6,8,1.0,4.0,False
scaffold100-size417314-gene-2.7,21,0.0,10.5,False
scaffold100-size417314-gene-2.8,21,1.0,10.5,False
scaffold100-size417314-gene-2.9,1,0.0,0.5,False
scaffold100-size417314-gene-3.0,19,0.0,9.5,False
scaffold100-size417314-gene-3.1,16,0.0,8.0,False
scaffold100-size417314-gene-3.12,9,0.0,4.5,False
scaffold100-size417314-gene-3.13,10,9.0,5.0,True
scaffold100-size417314-gene-3.15,5,0.0,2.5,False
scaffold100-size417314-gene-3.19,15,14.0,7.5,True
scaffold100-size417314-gene-3.20,13,1.0,6.5,False
scaffold100-size417314-gene-3.22,1,0.0,0.5,False
scaffold100-size417314-gene-3.24,19,0.0,9.5,False
scaffold100-size417314-gene-3.25,22,0.0,11.0,False
scaffold100-size417314-gene-3.27,20,0.0,10.0,False
scaffold100-size417314-gene-3.28,19,11.0,9.5,True
scaffold100-size417314-gene-3.29,19,0.0,9.5,False
scaffold100-size417314-gene-3.4,1,0.0,0.5,False
scaffold100-size417314-gene-3.8,21,1.0,10.5,False
scaffold100-size417314-gene-3.9,18,0.0,9.0,False
scaffold101-size165400-gene-0.10,1,0.0,0.5,False
scaffold101-size165400-gene-0.18,14,1.0,7.0,False
scaffold101-size165400-gene-0.3,1,0.0,0.5,False
scaffold101-size165400-gene-0.5,2,0.0,1.0,False
scaffold101-size165400-gene-0.8,20,1.0,10.0,False
scaffold102-size165015-gene-0.13,1,0.0,0.5,False
scaffold102-size165015-gene-0.16,19,17.0,9.5,True
scaffold102-size165015-gene-0.24,16,0.0,8.0,False
scaffold102-size165015-gene-0.25,14,0.0,7.0,False
scaffold102-size165015-gene-0.8,21,21.0,10.5,True
scaffold103-size163691-gene-0.1,14,0.0,7.0,False
scaffold103-size163691-gene-0.10,14,0.0,7.0,False
scaffold103-size163691-gene-0.11,21,20.0,10.5,True
scaffold103-size163691-gene-0.17,17,0.0,8.5,False
scaffold103-size163691-gene-0.2,15,0.0,7.5,False
scaffold103-size163691-gene-0.4,11,0.0,5.5,False
scaffold103-size163691-gene-0.5,1,0.0,0.5,False
scaffold103-size163691-gene-0.7,2,0.0,1.0,False
scaffold103-size163691-gene-0.8,23,0.0,11.5,False
scaffold104-size249586-gene-0.17,4,0.0,2.0,False
scaffold104-size249586-gene-0.18,17,0.0,8.5,False
scaffold104-size249586-gene-0.19,22,0.0,11.0,False
scaffold104-size249586-gene-0.20,18,3.0,9.0,False
scaffold104-size249586-gene-0.22,13,10.0,6.5,True
scaffold104-size249586-gene-0.25,20,4.0,10.0,False
scaffold104-size249586-gene-0.26,16,0.0,8.0,False
scaffold104-size249586-gene-0.29,21,0.0,10.5,False
scaffold104-size249586-gene-0.30,14,13.0,7.0,True
scaffold104-size249586-gene-0.34,21,1.0,10.5,False
scaffold104-size249586-gene-0.36,22,0.0,11.0,False
scaffold104-size249586-gene-0.40,20,9.0,10.0,False
scaffold104-size249586-gene-0.41,15,0.0,7.5,False
scaffold104-size249586-gene-0.42,21,16.0,10.5,True
scaffold104-size249586-gene-0.43,2,0.0,1.0,False
scaffold104-size249586-gene-0.44,16,1.0,8.0,False
scaffold104-size249586-gene-0.45,24,0.0,12.0,False
scaffold104-size249586-gene-0.46,1,0.0,0.5,False
scaffold104-size249586-gene-1.10,15,11.0,7.5,True
scaffold104-size249586-gene-1.15,1,0.0,0.5,False
scaffold104-size249586-gene-1.16,18,6.0,9.0,False
scaffold104-size249586-gene-1.17,10,0.0,5.0,False
scaffold104-size249586-gene-1.18,22,0.0,11.0,False
scaffold104-size249586-gene-1.20,1,0.0,0.5,False
scaffold104-size249586-gene-1.23,1,0.0,0.5,False
scaffold104-size249586-gene-1.24,22,0.0,11.0,False
scaffold104-size249586-gene-1.8,1,0.0,0.5,False
scaffold104-size249586-gene-1.9,19,0.0,9.5,False
scaffold105-size162906-gene-0.10,2,0.0,1.0,False
scaffold105-size162906-gene-0.9,18,14.0,9.0,True
scaffold106-size183729-gene-0.4,1,0.0,0.5,False
scaffold106-size183729-gene-0.8,19,0.0,9.5,False
scaffold107-size286255-gene-0.14,2,0.0,1.0,False
scaffold107-size286255-gene-0.15,23,0.0,11.5,False
scaffold107-size286255-gene-0.3,2,1.0,1.0,False
scaffold107-size286255-gene-0.7,2,0.0,1.0,False
scaffold107-size286255-gene-0.8,10,0.0,5.0,False
scaffold107-size286255-gene-1.11,22,0.0,11.0,False
scaffold107-size286255-gene-1.19,1,0.0,0.5,False
scaffold107-size286255-gene-1.20,23,0.0,11.5,False
scaffold107-size286255-gene-1.7,19,0.0,9.5,False
scaffold107-size286255-gene-1.8,18,0.0,9.0,False
scaffold107-size286255-gene-1.9,2,0.0,1.0,False
scaffold108-size220398-gene-0.10,21,20.0,10.5,True
scaffold108-size220398-gene-0.5,13,13.0,6.5,True
scaffold108-size220398-gene-0.7,19,13.0,9.5,True
scaffold108-size220398-gene-0.9,2,0.0,1.0,False
scaffold108-size220398-gene-1.10,22,0.0,11.0,False
scaffold108-size220398-gene-1.12,19,0.0,9.5,False
scaffold108-size220398-gene-1.13,1,1.0,0.5,True
scaffold108-size220398-gene-1.15,1,0.0,0.5,False
scaffold108-size220398-gene-1.3,14,0.0,7.0,False
scaffold108-size220398-gene-1.4,15,0.0,7.5,False
scaffold108-size220398-gene-1.5,22,0.0,11.0,False
scaffold108-size220398-gene-1.6,15,0.0,7.5,False
scaffold108-size220398-gene-1.7,18,0.0,9.0,False
scaffold108-size220398-gene-1.8,21,1.0,10.5,False
scaffold109-size231705-gene-1.1,20,2.0,10.0,False
scaffold11-size426755-gene-0.0,22,0.0,11.0,False
scaffold11-size426755-gene-0.1,21,0.0,10.5,False
scaffold11-size426755-gene-0.10,22,0.0,11.0,False
scaffold11-size426755-gene-0.11,1,0.0,0.5,False
scaffold11-size426755-gene-0.12,19,0.0,9.5,False
scaffold11-size426755-gene-0.13,23,22.0,11.5,True
scaffold11-size426755-gene-0.14,3,1.0,1.5,False
scaffold11-size426755-gene-0.15,21,20.0,10.5,True
scaffold11-size426755-gene-0.17,23,0.0,11.5,False
scaffold11-size426755-gene-0.19,14,11.0,7.0,True
scaffold11-size426755-gene-0.2,17,13.0,8.5,True
scaffold11-size426755-gene-0.20,15,0.0,7.5,False
scaffold11-size426755-gene-0.21,22,0.0,11.0,False
scaffold11-size426755-gene-0.24,19,19.0,9.5,True
scaffold11-size426755-gene-0.3,1,0.0,0.5,False
scaffold11-size426755-gene-0.7,21,4.0,10.5,False
scaffold11-size426755-gene-0.9,1,0.0,0.5,False
scaffold11-size426755-gene-1.10,13,0.0,6.5,False
scaffold11-size426755-gene-1.11,23,0.0,11.5,False
scaffold11-size426755-gene-1.13,18,4.0,9.0,False
scaffold11-size426755-gene-1.14,22,0.0,11.0,False
scaffold11-size426755-gene-1.15,20,0.0,10.0,False
scaffold11-size426755-gene-1.16,23,0.0,11.5,False
scaffold11-size426755-gene-1.17,15,4.0,7.5,False
scaffold11-size426755-gene-1.18,1,0.0,0.5,False
scaffold11-size426755-gene-1.2,12,9.0,6.0,True
scaffold11-size426755-gene-1.20,17,17.0,8.5,True
scaffold11-size426755-gene-1.21,23,1.0,11.5,False
scaffold11-size426755-gene-1.23,15,15.0,7.5,True
scaffold11-size426755-gene-1.25,2,0.0,1.0,False
scaffold11-size426755-gene-1.26,20,0.0,10.0,False
scaffold11-size426755-gene-1.3,15,15.0,7.5,True
scaffold11-size426755-gene-1.5,21,0.0,10.5,False
scaffold11-size426755-gene-1.8,11,0.0,5.5,False
scaffold11-size426755-gene-2.0,3,0.0,1.5,False
scaffold11-size426755-gene-2.10,23,8.0,11.5,False
scaffold11-size426755-gene-2.12,14,2.0,7.0,False
scaffold11-size426755-gene-2.13,22,0.0,11.0,False
scaffold11-size426755-gene-2.16,23,0.0,11.5,False
scaffold11-size426755-gene-2.18,16,0.0,8.0,False
scaffold11-size426755-gene-2.20,9,0.0,4.5,False
scaffold11-size426755-gene-2.21,22,4.0,11.0,False
scaffold11-size426755-gene-2.22,1,0.0,0.5,False
scaffold11-size426755-gene-2.23,18,0.0,9.0,False
scaffold11-size426755-gene-2.24,17,0.0,8.5,False
scaffold11-size426755-gene-2.25,17,14.0,8.5,True
scaffold11-size426755-gene-2.26,5,0.0,2.5,False
scaffold11-size426755-gene-2.28,17,0.0,8.5,False
scaffold11-size426755-gene-2.29,23,0.0,11.5,False
scaffold11-size426755-gene-2.30,16,0.0,8.0,False
scaffold11-size426755-gene-2.31,23,0.0,11.5,False
scaffold11-size426755-gene-2.32,14,2.0,7.0,False
scaffold11-size426755-gene-2.33,23,0.0,11.5,False
scaffold11-size426755-gene-2.35,1,0.0,0.5,False
scaffold11-size426755-gene-2.36,24,0.0,12.0,False
scaffold11-size426755-gene-2.38,17,12.0,8.5,True
scaffold11-size426755-gene-2.6,23,1.0,11.5,False
scaffold11-size426755-gene-2.7,1,0.0,0.5,False
scaffold11-size426755-gene-2.8,20,0.0,10.0,False
scaffold11-size426755-gene-2.9,16,12.0,8.0,True
scaffold11-size426755-gene-3.41,16,0.0,8.0,False
scaffold11-size426755-gene-3.42,16,16.0,8.0,True
scaffold11-size426755-gene-3.44,20,0.0,10.0,False
scaffold11-size426755-gene-3.45,6,0.0,3.0,False
scaffold11-size426755-gene-3.46,8,0.0,4.0,False
scaffold11-size426755-gene-3.47,21,0.0,10.5,False
scaffold11-size426755-gene-3.48,22,0.0,11.0,False
scaffold11-size426755-gene-3.49,1,0.0,0.5,False
scaffold11-size426755-gene-3.51,16,15.0,8.0,True
scaffold11-size426755-gene-3.53,15,0.0,7.5,False
scaffold11-size426755-gene-3.56,1,0.0,0.5,False
scaffold11-size426755-gene-3.57,18,0.0,9.0,False
scaffold11-size426755-gene-3.58,16,0.0,8.0,False
scaffold11-size426755-gene-3.60,18,0.0,9.0,False
scaffold11-size426755-gene-3.61,12,0.0,6.0,False
scaffold11-size426755-gene-3.63,19,0.0,9.5,False
scaffold11-size426755-gene-3.64,23,17.0,11.5,True
scaffold11-size426755-gene-3.65,18,0.0,9.0,False
scaffold11-size426755-gene-3.66,18,0.0,9.0,False
scaffold11-size426755-gene-3.67,2,0.0,1.0,False
scaffold11-size426755-gene-3.68,18,0.0,9.0,False
scaffold11-size426755-gene-3.69,4,0.0,2.0,False
scaffold11-size426755-gene-3.71,17,0.0,8.5,False
scaffold110-size214687-gene-0.1,1,0.0,0.5,False
scaffold110-size214687-gene-0.4,19,0.0,9.5,False
scaffold110-size214687-gene-1.7,1,0.0,0.5,False
scaffold110-size214687-gene-1.9,21,21.0,10.5,True
scaffold111-size161187-gene-0.1,22,3.0,11.0,False
scaffold111-size161187-gene-0.11,17,0.0,8.5,False
scaffold111-size161187-gene-0.12,14,0.0,7.0,False
scaffold111-size161187-gene-0.13,22,20.0,11.0,True
scaffold111-size161187-gene-0.14,20,17.0,10.0,True
scaffold111-size161187-gene-0.15,16,16.0,8.0,True
scaffold111-size161187-gene-0.16,15,0.0,7.5,False
scaffold111-size161187-gene-0.19,22,0.0,11.0,False
scaffold111-size161187-gene-0.2,21,0.0,10.5,False
scaffold111-size161187-gene-0.21,21,0.0,10.5,False
scaffold111-size161187-gene-0.22,21,18.0,10.5,True
scaffold111-size161187-gene-0.23,17,0.0,8.5,False
scaffold111-size161187-gene-0.24,16,0.0,8.0,False
scaffold111-size161187-gene-0.25,24,0.0,12.0,False
scaffold111-size161187-gene-0.26,1,0.0,0.5,False
scaffold111-size161187-gene-0.27,16,0.0,8.0,False
scaffold111-size161187-gene-0.28,19,0.0,9.5,False
scaffold111-size161187-gene-0.29,24,0.0,12.0,False
scaffold111-size161187-gene-0.3,22,0.0,11.0,False
scaffold111-size161187-gene-0.30,22,20.0,11.0,True
scaffold111-size161187-gene-0.31,20,3.0,10.0,False
scaffold111-size161187-gene-0.32,13,0.0,6.5,False
scaffold111-size161187-gene-0.4,2,1.0,1.0,False
scaffold111-size161187-gene-0.5,23,22.0,11.5,True
scaffold111-size161187-gene-0.6,24,0.0,12.0,False
scaffold111-size161187-gene-0.8,3,0.0,1.5,False
scaffold111-size161187-gene-0.9,2,0.0,1.0,False
scaffold112-size327130-gene-0.10,21,0.0,10.5,False
scaffold112-size327130-gene-0.14,12,0.0,6.0,False
scaffold112-size327130-gene-0.16,22,22.0,11.0,True
scaffold112-size327130-gene-0.17,1,0.0,0.5,False
scaffold112-size327130-gene-0.22,22,16.0,11.0,True
scaffold112-size327130-gene-0.3,3,0.0,1.5,False
scaffold112-size327130-gene-0.4,20,0.0,10.0,False
scaffold112-size327130-gene-0.5,21,18.0,10.5,True
scaffold112-size327130-gene-0.6,18,0.0,9.0,False
scaffold112-size327130-gene-0.7,1,0.0,0.5,False
scaffold112-size327130-gene-0.9,21,0.0,10.5,False
scaffold112-size327130-gene-1.11,19,0.0,9.5,False
scaffold112-size327130-gene-1.12,20,0.0,10.0,False
scaffold112-size327130-gene-1.13,2,0.0,1.0,False
scaffold112-size327130-gene-1.4,22,0.0,11.0,False
scaffold112-size327130-gene-1.5,16,0.0,8.0,False
scaffold112-size327130-gene-1.7,20,18.0,10.0,True
scaffold112-size327130-gene-1.9,22,0.0,11.0,False
scaffold112-size327130-gene-2.10,20,0.0,10.0,False
scaffold112-size327130-gene-2.11,24,24.0,12.0,True
scaffold112-size327130-gene-2.14,2,0.0,1.0,False
scaffold112-size327130-gene-2.15,19,0.0,9.5,False
scaffold112-size327130-gene-2.16,3,0.0,1.5,False
scaffold112-size327130-gene-2.17,23,0.0,11.5,False
scaffold112-size327130-gene-2.18,22,0.0,11.0,False
scaffold112-size327130-gene-2.20,22,0.0,11.0,False
scaffold112-size327130-gene-2.23,1,0.0,0.5,False
scaffold112-size327130-gene-2.24,21,9.0,10.5,False
scaffold112-size327130-gene-2.25,14,0.0,7.0,False
scaffold112-size327130-gene-2.26,1,0.0,0.5,False
scaffold112-size327130-gene-2.27,8,1.0,4.0,False
scaffold112-size327130-gene-2.29,15,9.0,7.5,True
scaffold112-size327130-gene-2.30,24,9.0,12.0,False
scaffold112-size327130-gene-2.31,20,0.0,10.0,False
scaffold112-size327130-gene-2.32,22,0.0,11.0,False
scaffold112-size327130-gene-2.33,1,0.0,0.5,False
scaffold112-size327130-gene-2.36,1,0.0,0.5,False
scaffold112-size327130-gene-2.4,1,0.0,0.5,False
scaffold112-size327130-gene-2.5,24,2.0,12.0,False
scaffold112-size327130-gene-2.7,22,0.0,11.0,False
scaffold112-size327130-gene-2.9,18,17.0,9.0,True
scaffold113-size232416-gene-0.3,20,0.0,10.0,False
scaffold113-size232416-gene-0.4,18,14.0,9.0,True
scaffold113-size232416-gene-0.5,23,10.0,11.5,False
scaffold113-size232416-gene-1.1,1,0.0,0.5,False
scaffold113-size232416-gene-1.10,10,0.0,5.0,False
scaffold113-size232416-gene-1.11,18,0.0,9.0,False
scaffold113-size232416-gene-1.14,2,0.0,1.0,False
scaffold113-size232416-gene-1.16,8,0.0,4.0,False
scaffold113-size232416-gene-1.2,6,0.0,3.0,False
scaffold113-size232416-gene-1.20,19,0.0,9.5,False
scaffold113-size232416-gene-1.22,1,0.0,0.5,False
scaffold113-size232416-gene-1.23,22,0.0,11.0,False
scaffold113-size232416-gene-1.25,1,0.0,0.5,False
scaffold113-size232416-gene-1.4,5,2.0,2.5,False
scaffold113-size232416-gene-1.5,19,0.0,9.5,False
scaffold113-size232416-gene-1.7,2,0.0,1.0,False
scaffold113-size232416-gene-1.8,17,17.0,8.5,True
scaffold114-size219430-gene-0.10,3,0.0,1.5,False
scaffold114-size219430-gene-0.11,1,0.0,0.5,False
scaffold114-size219430-gene-0.13,1,0.0,0.5,False
scaffold114-size219430-gene-1.1,19,0.0,9.5,False
scaffold114-size219430-gene-1.10,1,0.0,0.5,False
scaffold114-size219430-gene-1.2,14,0.0,7.0,False
scaffold114-size219430-gene-1.6,23,23.0,11.5,True
scaffold114-size219430-gene-1.9,2,0.0,1.0,False
scaffold115-size155435-gene-0.13,2,0.0,1.0,False
scaffold115-size155435-gene-0.14,23,1.0,11.5,False
scaffold115-size155435-gene-0.16,2,0.0,1.0,False
scaffold115-size155435-gene-0.4,20,15.0,10.0,True
scaffold115-size155435-gene-0.5,3,0.0,1.5,False
scaffold115-size155435-gene-0.9,17,0.0,8.5,False
scaffold116-size154557-gene-0.10,17,0.0,8.5,False
