Query,Alien index (AI),AI > 30,HGT index (hU),hU >= 30,Evalue,Top species Evalue,Superkingdom
scaffold1-size789604-gene-0.22,-401.1606318047299,False,-625.9,False,5.999999999999995e-175,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.24,-128.5393000995584,False,-230.3,False,1.4999999999999995e-56,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-0.27,-192.9471441822541,False,-325.1,False,1.6e-84,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.28,7.264430222920869,False,54.3,True,0.0007,Clostridium,cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;Clostridiales;Clostridiaceae
scaffold1-size789604-gene-0.29,-112.29604130564607,False,-206.8,False,1.7e-49,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-0.30,-10.101938491259967,False,-57.8,False,4.1e-05,Physcomitrium patens,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Bryophyta;Bryophytina;Bryopsida;Funariidae;Funariales;Funariaceae;Physcomitrium
scaffold1-size789604-gene-1.0,-166.30937483933587,False,-240.0,False,1.5999999999999988e-180,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.1,-322.77742846312805,False,-511.1,False,6.599999999999998e-141,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.15,-187.50364480586157,False,-317.4,False,3.699999999999999e-82,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.16,-164.83061525054384,False,-284.3,False,2.5999999999999995e-72,Selaginella moellendorffii,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Lycopodiopsida;Selaginellales;Selaginellaceae;Selaginella
scaffold1-size789604-gene-1.17,-94.96810773090941,False,-180.6,False,5.7e-42,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.18,-18.238359187158412,False,-72.0,False,1.2e-08,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.19,-460.51701859880916,False,-1978.0,False,0.0,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.2,-89.0588812820384,False,-173.3,False,2.1e-39,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.20,-5.083205986931091,False,-7.299999999999997,False,3.1e-06,Bondarzewia mesenterica,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetes incertae sedis;Russulales;Bondarzewiaceae;Bondarzewia
scaffold1-size789604-gene-1.21,-212.70532912315693,False,-352.1,False,4.199999999999998e-93,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-1.23,-179.6850188624746,False,-303.9,False,9.199999999999997e-79,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.25,-62.495219911273864,False,-90.10000000000001,False,2.5999999999999997e-47,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-1.29,-282.26245499324017,False,-452.2,False,2.5999999999999983e-123,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.3,8.011644624751085,False,11.5,False,6.3e-48,Treponema sp. GWB1_62_6,cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;unclassified Treponema
scaffold1-size789604-gene-1.4,-11.209243051172006,False,-16.099999999999994,False,4.2e-19,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-1.5,-262.3993904215169,False,-424.1,False,1.0999999999999992e-114,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.6,-254.71147658498518,False,-412.9,False,2.3999999999999997e-111,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-1.8,-30.248316953762295,False,-89.7,False,7.299999999999999e-14,Leptotrombidium deliense,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Trombidiformes;Prostigmata;Anystina;Parasitengona;Trombiculoidea;Trombiculidae;Leptotrombidium
scaffold1-size789604-gene-1.9,-35.7968164205069,False,-51.69999999999999,False,5.399999999999996e-112,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-2.39,-448.1124950145551,False,-763.5,False,6.099999999999994e-236,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.41,-107.01752656639422,False,-234.60000000000002,False,7.299999999999992e-225,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.42,-251.93728658137843,False,-725.8000000000001,False,1e-309,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.44,-13.41004544985611,False,-63.2,False,1.5e-06,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.46,-67.27305429481589,False,-97.1,False,7.9e-93,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.47,-18.158316479484874,False,-71.6,False,1.3e-08,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.49,-347.926071375622,False,-548.1,False,7.899999999999995e-152,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.50,-3.9794642862236813,False,-5.699999999999989,False,4.3e-29,Galdieria sulphuraria,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Galdieria
scaffold1-size789604-gene-2.51,-352.87533772334194,False,-554.7,False,5.599999999999995e-154,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.52,-103.31029797361208,False,-149.1,False,1.1e-51,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-2.53,-26.842563755564278,False,-84.3,False,2.2e-12,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.54,-17.196905312330248,False,-69.7,False,3.4e-08,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.55,-46.5625274836469,False,-112.8,False,6e-21,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.57,-84.64133770507394,False,-122.19999999999999,False,4.699999999999998e-101,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.58,-349.4623058840328,False,-550.1,False,1.699999999999999e-152,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.59,-67.57347539304509,False,-97.50000000000003,False,1.7999999999999993e-69,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-2.60,-66.13311381065493,False,-139.0,False,1.9e-29,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.61,-277.91964907171956,False,-446.0,False,1.999999999999999e-121,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.63,-136.2091954305874,False,-243.4,False,7e-60,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.64,-273.6593193720232,False,-394.80000000000007,False,3.0999999999999976e-200,synthetic construct,other sequences;artificial sequences
scaffold1-size789604-gene-2.66,-460.51701859880916,False,-859.4,False,2.099999999999998e-245,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.69,-18.08420850733115,False,-71.2,False,1.4e-08,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.71,-41.26421011709887,False,-104.8,False,1.2e-18,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.72,-65.0885687432571,False,-138.3,False,5.4e-29,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.73,-335.4354862324013,False,-529.3,False,2.099999999999999e-146,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.74,-281.361668447902,False,-451.1,False,6.399999999999996e-123,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.75,-282.4760290935382,False,-454.5,False,2.0999999999999993e-123,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.76,-119.39795259906916,False,-217.6,False,1.3999999999999996e-52,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-2.77,-209.79660822659255,False,-348.2,False,7.699999999999996e-92,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.0,-0.24116205681688818,False,-0.4000000000000057,False,2.2e-07,Lotus japonicus,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;robinioid clade;Loteae;Lotus
scaffold1-size789604-gene-3.14,-460.51701859880916,False,-978.4,False,4.8999999999999944e-281,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.17,-123.88102008825635,False,-178.8,False,8.699999999999996e-112,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.18,-372.32563788447544,False,-582.8,False,1.999999999999999e-162,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.19,-65.94205857389223,False,-141.7,False,2.3e-29,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.2,-38.4020092361694,False,-100.1,False,2.1e-17,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.20,-46.23402341667486,False,-66.60000000000002,False,9.999999999999995e-140,Galdieria sulphuraria,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Galdieria
scaffold1-size789604-gene-3.22,-52.48945350961731,False,-121.7,False,1.6000000000000002e-23,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.23,-55.01784527134507,False,-79.29999999999995,False,1.1999999999999993e-135,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.27,-130.84188519255244,False,-233.0,False,1.4999999999999992e-57,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.29,-31.830726193808474,False,-90.9,False,1.5e-14,Thraustotheca clavata,cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Saprolegniales;Saprolegniaceae;Thraustotheca
scaffold1-size789604-gene-3.3,-17.832894079050245,False,-71.6,False,1.8e-08,Rhizopus microsporus ATCC 52813,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Mucorineae;Rhizopodaceae;Rhizopus;Rhizopus microsporus
scaffold1-size789604-gene-3.31,1.0826119473216664,False,1.5,False,2.1e-54,Chloroflexi bacterium,cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;unclassified Chloroflexi
scaffold1-size789604-gene-3.32,-12.750799820971846,False,-63.5,False,2.9e-06,Allomyces macrogynus ATCC 38327,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Caesalpinioideae;mimosoid clade;Mimoseae;Prosopis
scaffold1-size789604-gene-3.33,-243.48623319246673,False,-396.4,False,1.7999999999999996e-106,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.35,-140.0522255645286,False,-248.1,False,1.499999999999999e-61,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.37,-407.2951971954786,False,-633.3,False,1.299999999999999e-177,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.38,-390.9088375579256,False,-609.8,False,1.6999999999999993e-170,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.4,-25.856068765016875,False,-82.0,False,5.9e-12,Porphyridium purpureum,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Porphyridium
scaffold1-size789604-gene-3.6,-314.26023527171185,False,-498.8,False,3.2999999999999983e-137,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.7,-9.099114736865943,False,-13.099999999999994,False,1.8999999999999997e-64,Porphyridium purpureum,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Porphyridium
scaffold1-size789604-gene-3.8,-386.49782338637846,False,-602.8,False,1.3999999999999992e-168,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-3.9,-10.96287912805095,False,-15.799999999999997,False,2.6e-23,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.0,194.52581043602146,True,325.5,True,3.3e-85,Rhodobacteraceae bacterium,cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified Rhodobacteraceae
scaffold1-size789604-gene-4.1,-47.02205981302532,False,-67.79999999999995,False,7.199999999999996e-92,Prionitis lanceolata,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Halymeniales;Halymeniaceae;Prionitis
scaffold1-size789604-gene-4.10,-148.83512192167785,False,-261.5,False,2.299999999999999e-65,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.11,-139.92706242157462,False,-246.5,False,1.7e-61,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.14,-460.51701859880916,False,-767.3,False,1.2999999999999988e-217,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.16,-51.04253452668099,False,-119.0,False,6.799999999999999e-23,Onthophagus taurus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Holometabola;Coleoptera;Polyphaga;Scarabaeiformia;Scarabaeoidea;Scarabaeidae;Scarabaeinae;Scarabaeinae incertae sedis;Onthophagus
scaffold1-size789604-gene-4.17,-460.51701859880916,False,-971.5,False,3.2999999999999967e-279,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.19,-414.05985163082005,False,-643.7,False,1.499999999999999e-180,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.20,-97.7271434867445,False,-140.9,False,1.2999999999999993e-98,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.21,20.627955657142085,False,74.3,True,1.1e-09,Rickettsiales endosymbiont of Trichoplax sp. H2,cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;unclassified Rickettsiales
scaffold1-size789604-gene-4.22,-385.61052019137753,False,-601.7,False,3.399999999999998e-168,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.25,-60.32855798434781,False,-87.0,False,2.899999999999999e-86,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.26,-83.02089671929554,False,-163.7,False,8.8e-37,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.3,-181.49875723842143,False,-306.6,False,1.4999999999999994e-79,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.30,-460.51701859880916,False,-844.3,False,1.099999999999999e-240,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.31,-19.847797099592512,False,-73.6,False,2.4e-09,Ostreococcus tauri,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus
scaffold1-size789604-gene-4.33,54.99967796738961,True,124.8,True,1.3e-24,Actinobacteria bacterium,cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;unclassified Actinobacteria (class)
scaffold1-size789604-gene-4.4,-54.45969575933216,False,-78.6,False,2.8999999999999996e-42,Porphyridium purpureum,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Porphyridium
scaffold1-size789604-gene-4.5,-255.40462376554513,False,-413.3,False,1.1999999999999995e-111,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.6,-60.102934751366256,False,-132.9,False,7.9e-27,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-4.7,-93.48969808088174,False,-235.79999999999995,False,4.299999999999996e-231,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.8,-175.40193217565562,False,-253.10000000000002,False,1.3999999999999991e-164,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-4.9,-37.617890277403724,False,-100.1,False,4.6e-17,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-5.20,-92.13417537842858,False,-132.89999999999998,False,3.1999999999999995e-46,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-5.23,-307.75794510083784,False,-490.0,False,2.199999999999999e-134,Chondrus crispus,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Gigartinaceae;Chondrus
scaffold1-size789604-gene-5.24,-261.4299898643288,False,-424.5,False,2.8999999999999985e-114,Porphyra umbilicalis,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra
scaffold1-size789604-gene-5.25,-73.14641826674249,False,-105.60000000000001,False,5.3e-39,Porphyridium purpureum,cellular organisms;Eukaryota;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Porphyridium
